"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Stk17b",0.130926271288673,-1.73056885639439,0,0.381,1,0.0584895430434852,-1.29868918363254,0.5,0.827,1,0.130926271288673,0.113558059441535
"Rps5",0.0586790503342113,1.19929201337118,0.75,0.383,1,0.0622130806402517,0.671841510472701,1,0.428,1,0.0622130806402517,0.113914869720298
"Cxcl2",0.145793341483831,-2.36893036792195,0,0.362,1,0.0590144107326171,-2.94283952287444,0,0.513,1,0.145793341483831,0.114546120791116
"Rap1b",0.373560595919042,-0.718094308470052,0,0.167,1,0.0596994442486088,-1.26642133395234,0,0.511,1,0.373560595919042,0.115834864853625
"Gm8730",0.439165728526201,-0.305130663924362,0,0.131,1,0.0597149663380574,0.283084993752833,0.75,0.246,1,0.439165728526201,0.11586405547136
"Grina",0.059764750527527,-1.61492306064612,0,0.511,1,0.0914052937799048,-1.48249315827073,0.25,0.579,1,0.0914052937799048,0.115957675649437
"Ier2",0.0600100556260951,-1.75460146964978,0,0.511,1,0.0660959278897385,-1.43976436287491,0.25,0.615,1,0.0660959278897385,0.116418904475943
"Lilrb4",0.20128131718659,-1.08406042760821,0,0.299,1,0.0603906212392218,-1.39396847001765,0,0.509,1,0.20128131718659,0.117134215344784
"Gm15725",0.061248294881861,-1.50890646785591,0,0.508,1,0.472576068324525,-0.620740396883345,0.5,0.499,1,0.472576068324525,0.118745236137787
"Gp49a",0.208185423943803,-1.0444895531771,0,0.292,1,0.0619094156845791,-1.39271912392797,0,0.506,1,0.208185423943803,0.119986055618752
"Cox6a1",0.697451339430792,0.665223008226254,0.25,0.21,1,0.0622749887511957,0.529657281775544,0.75,0.284,1,0.697451339430792,0.12067180327843
"Flna",0.116420551498274,-1.4337490410957,0,0.402,1,0.0633374391949161,-1.32671645824541,0,0.502,1,0.116420551498274,0.122663247186063
"Btg2",0.116340342582359,-1.48156859291064,0.25,0.687,1,0.063423831139026,-1.60081424602806,0.5,0.817,1,0.116340342582359,0.1228250799217
"Anxa2",0.0635268513467955,-1.82619911398258,0,0.502,1,0.12721837386683,-1.41951710088246,0.5,0.62,1,0.12721837386683,0.123018041851553
"Nudcd3",0.0637134462659713,0.755713083782832,0.25,0.051,1,0.071305552614584,0.396139561319536,0.25,0.052,1,0.071305552614584,0.123367489296856
"Lmnb1",0.226598246560104,-1.34908744115107,0,0.275,1,0.0641821236819318,-1.74059721718819,0,0.5,1,0.226598246560104,0.124244902363541
"Fgl2",0.261157302513277,-1.29360089088631,0,0.245,1,0.064425052132298,-1.75480236760982,0,0.5,1,0.261157302513277,0.124699516922347
